Model,Price,Rating,Inches,RAM_GB,SSD_GB,Storage_Detail,Screen_Width,Screen_Height,Screen_Resolution_Type,CPU_Detail,GPU_Detail,OS_Detail,Price_Category
HP 15s-fq5327TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),37490.0,55.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i3 1215U,Intel UHD Graphics,Windows 11 OS,0
MSI Stealth 14 AI Studio A1VGG-054IN Gaming Laptop (Intel Core Ultra 7 155H/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),229990.0,61.5,15.6,32.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 7 Series 1 155H,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2
MSI Katana A15 AI B8VE-418IN Gaming Laptop (AMD Ryzen 7 8845HS/ 16GB/ 512GB SSD/ Win11 /6GB Graph),104990.0,70.0,15.75,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,8th Gen AMD Ryzen 7 8845HS,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2
MSI Cyborg 15 AI A1VEK-050IN Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),107990.0,68.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 7 Series 1 155H,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2
MSI Cyborg 15 AI A1VEK-051IN Gaming Laptop (Intel Core Ultra 5 125H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),99990.0,66.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 5 Series 1 125H,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2
MSI Cyborg 15 AI A1VFK-049IN Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),114990.0,69.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 7 Series 1 155H,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2
MSI Raider GE78 HX 14VHG-805IN Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 12GB Graph),299990.0,61.5,17.0,32.0,2048.0,2 TB SSD,0.0,0.0,Non-IPS,14th Gen Intel Core i9 14900HX,12 GB NVIDIA GeForce RTX 4080,Windows 11 OS,2
MSI Commercial 14 H A13MG vPro-065IN Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/Win11),109990.0,69.0,14.0,32.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i7 13700H,Intel Integrated Iris Xe,Windows 11 OS,2
MSI Thin A15 AI B7UCX-068IN Gaming Laptop (AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),65990.0,69.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 5 7535HS,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1
MSI Thin A15 AI B7UC-067IN Gaming Laptop (AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),71990.0,70.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 5 7535HS,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1
MSI Thin A15 AI B7VE-066IN Gaming Laptop (AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),81990.0,71.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 5 7535HS,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2
MSI Thin A15 AI B7VE-065IN Gaming Laptop (AMD Ryzen 7 7735H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),91990.0,73.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 7 7735HS,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2
MSI Stealth 16 AI Studio A1VGG-057IN Gaming Laptop (Intel Core Ultra 9/ 32GB/ 2TB SSD/ Win11/ 8GB Graph),249990.0,61.5,16.0,32.0,2048.0,2 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 9 Series 1 185H,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2
MSI Vector 17 HX A14VHG-806IN Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 12GB Graph),279990.0,61.5,17.0,32.0,2048.0,2 TB SSD,0.0,0.0,Non-IPS,14th Gen Intel Core i9 14900HX,12 GB NVIDIA GeForce RTX 4080,Windows 11 OS,2
Chuwi HeroBook Plus Laptop (Intel Celeron N4020/ 8GB/ 256GB SSD/ Win11),18990.0,61.5,15.6,8.0,256.0,256 GB SSD,0.0,0.0,Non-IPS,Intel ‎Celeron N4020,Intel HD Graphics,Windows 11 OS,0
HP Omen 16-wf0179TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),105990.0,72.0,16.1,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i7 13700HX,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,2
Infinix INBook X2 Slim XL23 Series Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home),32990.0,52.0,14.0,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,11th Gen Intel Core i5 1155G7,Intel Integrated Iris Xe,Windows 11 OS,0
Asus Vivobook S15 OLED S5504VA-MA951WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11),110709.0,66.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i9 13900H,Intel Iris Xe Graphics,Windows 11 OS,2
MSI Modern 15 C13M-080IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),69990.0,61.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i7 13700H,Intel Integrated Iris Xe,Windows 11 OS,1
MSI Modern 15 C13M-079IN Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home),79990.0,66.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i9 13900H,Intel Integrated Iris Xe,Windows 11 OS,1
MSI Modern 15 C13M-081IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),59990.0,57.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i5 13420H,Intel Integrated Iris Xe,Windows 11 OS,1
Chuwi GemiBook Plus CWI620 Laptop (Intel Celeron N100/ 8GB/ 256GB SSD/ Win11 Home),21990.0,61.5,15.6,8.0,256.0,256 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Celeron N100,Intel Integrated UHD Graphics,Windows 11 OS,0
HP Pavilion Plus 14-ew0116TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),70490.0,57.0,14.0,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i5 1335U,Intel Iris Xe Graphics,Windows 11 OS,1
MSI Commercial 14 H A13MG-070IN Laptop (13th Gen Core i7/ 16 GB/ 1TB SSD/Win11 Home),97990.0,64.0,14.0,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i7 13620H,Intel Integrated Iris Xe,Windows 11 OS,2
MSI Stealth 16 AI Studio A1VFG-058IN Gaming Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),199990.0,61.5,16.0,32.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 7 Series 1 155H,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2
MSI Modern 14 D13MG-073IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),58990.0,56.0,14.0,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i5 13420H,Intel Integrated Iris Xe,Windows 11 OS,1
MSI Prestige 16 AI Studio B1VFG 2024 Laptop ( Intel Core Ultra 9/ 32GB/ 1TB SSD/ Win11/ 8GB Graphics),189990.0,61.5,16.0,32.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 9 Series 1 185H,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2
Lenovo LOQ 15IRH8 82XV00LTIN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),73882.0,68.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1
Lenovo IdeaPad Slim 3 82H803W7IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),35500.0,61.5,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,11th Gen Intel Core i3 1115G4,Intel UHD Graphics,Windows 11 OS,0
Dell Inspiron 5620 ICC-C783534WIN8 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),64990.0,66.0,16.0,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 1240P,Intel Integrated,Windows 11 OS,1
MSI Prestige 16 AI Studio B1VFG Laptop ( Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11/ 8GB Graphics),169990.0,61.5,16.0,32.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 7 Series 1 155H,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2
MSI Modern 14 D13MG-071IN Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home),78990.0,66.0,14.0,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i9 13900H,Intel Integrated Iris Xe,Windows 11 OS,1
MSI Modern 14 D13MG-072IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),68990.0,60.0,14.0,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i7 13620H,Intel Integrated Iris Xe,Windows 11 OS,1
MSI Prestige 16 AI Evo  B1MG Laptop ( Intel Core Ultra 7/ 16GB/ 1TB SSD/ Win11),119990.0,70.0,16.0,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 7 Series 1 155H,Intel Integrated Arc,Windows 11 OS,2
MSI Prestige 13 AI Evo A1MG 2024 Laptop (Intel Core Ultra 7/ 16GB/ 1TB SSD/ Win11 Home),114990.0,69.0,13.3,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 7 Series 1 155H,Intel Arc Graphics,Windows 11 OS,2
MSI Prestige 13 AI Evo A1MG Laptop (Intel Core Ultra 5/ 16GB/ 1TB SSD/ Win11 Home),99990.0,66.0,13.3,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 5 Series 1 125H,Intel Arc Graphics,Windows 11 OS,2
MSI Prestige 16 AI Studio B1VEG Laptop ( Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11/ 6GB Graphics),159990.0,61.5,16.0,32.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 7 Series 1 155H,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2
Asus ROG Strix SCAR 16 2024 G634JZR-CM932WS Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 12GB Graph),289990.0,61.5,16.0,32.0,2048.0,2 TB SSD,0.0,0.0,Non-IPS,14th Gen Intel Core i9 14900HX,12 GB NVIDIA GeForce RTX 4080,Windows 11 OS,2
Asus TUF F17 FX706HF-NY040W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),65990.0,63.0,17.3,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,11th Gen Intel Core i5 11400H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1
HP Pavilion 15-eh1147AU Laptop (AMD Ryzen 7 5700U/ 16GB/ 1TB SSD/ Win11 Home),60490.0,63.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,5th Gen AMD Ryzen 7 5700U,AMD Radeon Radeon,Windows 11 OS,1
Asus Zenbook 14 OLED 2024 UX3405MA-PZ552WS Laptop (Intel Core Ultra 5/ 16GB/ 1TB SSD/ Win11 Home),102900.0,63.0,14.0,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 5 Series 1 125H,Intel Arc Graphics,Windows 11 OS,2
Dell Vostro 3530 Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),39990.0,52.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i3 1305U,Intel Integrated Graphics,Windows 11 OS,0
Lenovo ThinkPad E14 21JKS0UA00 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),73990.0,55.0,14.0,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i5 1335U,Intel UHD Graphics,Windows 11 OS,1
Lenovo Thinkbook 15 21DJA0FGIH Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),55990.0,60.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 1235U,Intel Iris Xe Graphics,Windows 11 OS,1
Lenovo IdeaPad Slim 5 14IMH9 83DA0043IN Laptop (Intel Core Ultra 5/ 16 GB RAM/ 1TB SSD/ Win 11),79990.0,55.0,14.0,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 5 Series 1 125H,Intel Arc Graphics,Windows 11 OS,1
HP 14-ew0153TU Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),97990.0,60.0,14.0,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i7 1355U,Intel Integrated Intel Iris Xe,Windows 11 OS,2
Acer Swift Go 14 SFG14-72T Laptop (Intel Core Ultra 5 125H/ 16GB/ 512GB SSD/ Win11 Home),79799.0,56.0,14.0,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 5 Series 1 125H,Intel Integrated ARC Graphics,Windows 11 OS,1
HP Spectre x360 16-aa0664TX Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11/ 6GB Graph),195990.0,61.5,16.0,32.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 7 Series 1 155H,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2
Chuwi Ubook X Laptop (10th Gen Core i3/ 12GB/ 512GB SSD/ Win11),39990.0,61.5,12.0,12.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,10th Gen Intel Core i5 10210Y,Intel UHD Graphics,Windows 11 OS,0
HP Pavilion 15-eh1047AU Laptop (Ryzen 5 5500U/ 16GB/ 1TB SSD/ Win11 Home),55990.0,62.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,5th Gen AMD Ryzen 5 5500U,AMD Radeon Graphics,Windows 11 OS,1
Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 1TB SSD/ Win11),38249.0,57.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i3 1215U,Intel UHD Graphics,Windows 11 OS,0
HP Omen 16-xd0010AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),115999.0,75.0,16.1,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 7 7840HS,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2
Infinix INBook Y4 Max Series YL613 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11 Home),52990.0,54.0,16.0,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i7 1355U,Intel Integrated Iris Xe,Windows 11 OS,1
Dell G15-5530 GN5530194YM001ORB1 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ RTX 3050 6GB Graph),101990.0,69.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i7 13650HX,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,2
Lenovo IdeaPad Slim 3 15IAH8 83ER008HIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),54990.0,57.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 12450H,Intel Integrated UHD Graphics,Windows 11 OS,1
Lenovo Yoga Slim 6 14IRH8 83E00014IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),91990.0,57.0,14.0,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i7 13700H,Intel Integrated Iris Xe,Windows 11 OS,2
Lenovo LOQ 15IRX9 83DV007JIN Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),84990.0,66.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i5 13450HX,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,2
Lenovo IdeaPad Slim 3 83EM0026IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),59390.0,54.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i5 13420H,Integrated Intel UHD Graphics,Windows 11 OS,1
Lenovo LOQ 15IRX9 83DV007HIN Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),99990.0,65.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i7 13650HX,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2
HP Pavilion 15-eh3039AU Laptop ( AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),58500.0,61.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 5 7530U,AMD Radeon Graphics,Windows 11 OS,1
Lenovo ThinkBook 14 21KG00AFIN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),43990.0,59.0,14.0,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i3 1315U,Intel UHD Graphics,Windows 11 OS,1
Asus TUF Gaming F17 FX706HF-HX044WS Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),51990.0,59.0,17.0,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,11th Gen Intel Core i5 11400H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1
HP 15s-fr5010TU Laptop (12th Gen Core i5/8GB/ 512GB SSD/ Win11 Home),52500.0,55.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 1235U,Intel UHD Graphics,Windows 11 OS,1
Lenovo LOQ 15IAX9I 83FQ0009IN Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),59990.0,57.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen intel Core i5 12450HX,4 GB Intel Integrated ARC A530M,Windows 11 OS,1
Lenovo ThinkPad E1 21JNS03P00 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),49990.0,55.0,16.0,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i3 1315U,Intel UHD Graphics,Windows 11 OS,1
Lenovo ThinkBook 15 G5 21JFA016IN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512 GB SSD/ Win11),52990.0,66.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 5 7530U,AMD Radeon AMD,Windows 11 OS,1
Lenovo ThinkBook 15 G5 21JF002PIN Laptop (AMD Ryzen 5 7530U/ 8GB/ 512 GB SSD/ Win11),39990.0,64.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 5 7530U,AMD Radeon AMD,Windows 11 OS,0
HP Spectre x360 16-aa0665TU Laptop (Intel Core Ultra 7/ 32GB/ 2TB SSD/ Win11 Home),174490.0,61.5,16.0,32.0,2048.0,2 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 7 Series 1 155H,Intel Arc Graphics,Windows 11 OS,2
Acer Aspire Lite AL15-52 15 Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11),49199.0,60.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 1235U,Intel Iris Xe Graphics,Windows 11 OS,1
HP Spectre x360 14-eu0666TU Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11 Home),159990.0,75.0,14.0,32.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 7 Series 1 155H,Intel Arc Graphics,Windows 11 OS,2
HP Spectre x360 14-eu0556TU Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11 Home),159990.0,75.0,14.0,32.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 7 Series 1 155H,Intel Arc Graphics,Windows 11 OS,2
HP Omen 16-wf1026TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),176499.0,61.5,16.1,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,14th Gen Intel Core i7 14700HX,8 GB NVIDIA GeForce RTX 4070,Windows 11 OS,2
Chuwi Gemibook X Pro Laptop (Intel Celeron N100/ 8 GB/ 256 GB SSD/ Win11 Home),20990.0,61.5,14.1,8.0,256.0,256 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel N100 N100,Intel Integrated UHD Graphics,Windows 11 OS,0
Asus VivoBook 14 X1400EA-EK543WS Notebook (11th Gen Core i5/16GB/ 512GB SSD/ Win11 Home),43990.0,53.0,14.0,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,11th Gen Intel Core i5 1135G7,Intel Integrated Intel UHD,Windows 11 OS,1
Acer Nitro V 15 ANV15-51 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),73223.0,60.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i5 13420H,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1
Lenovo IdeaPad Slim 3 82X60013IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),43990.0,61.5,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i3 1305U,Integrated Intel UHD Graphics,Windows 11 OS,1
Chuwi CoreBook X Laptop (10th Gen Core i5/ 16GB/ 512GB SSD/ Win11),34990.0,51.0,14.0,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,10th Gen Intel Core i5 1035G1,Intel UHD Graphics,Windows 11 OS,0
Avita Liber Liber E AM14A2INL54F Laptop (AMD Ryzen 5 5500U/ 8GB/ 256GB SSD/ Win11 Home),32971.0,61.5,14.0,8.0,256.0,256 GB SSD,0.0,0.0,Non-IPS,5th Gen AMD Ryzen 5 5500U,AMD Radeon,Windows 11 OS,0
Ultimus Lite NU14U3INC54BN Laptop (Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home),15990.0,61.5,14.1,8.0,256.0,256 GB SSD,0.0,0.0,Non-IPS,Intel Celeron N4020,Intel Integrated UHD Graphics,Windows 11 OS,0
Lenovo ThinkPad X1 Fold Gen 1 Laptop (Intel Core i5/ 8GB/ 1TB SSD/ Win10 Pro),145000.0,57.0,13.3,8.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,11th Gen Intel Core i5 L16G7,Intel Integrated Graphics,Windows 10 OS,2
Lenovo IdeaPad Slim 3 15IRH8 83EM0025IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),59490.0,54.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i5 13420H,Integrated Intel UHD Graphics,Windows 11 OS,1
Dell G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),82490.0,68.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i5 13450HX,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,2
Dell ‎G16 7630 Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),187490.0,77.0,16.0,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i9 13900HX,8 GB NVIDIA GeForce RTX 4070,Windows 11 OS,2
HP Envy x360 15-fh0014AU Laptop (AMD Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11 Home),80640.0,60.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 5 7530U,AMD Radeon AMD,Windows 11 OS,2
Lenovo IdeaPad Slim 3 83ER008DIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),53490.0,55.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen intel Core i5 12450H,Integrated Intel IrisXe Graphics,Windows 11 OS,1
Infinix INBook Y2 Plus XL29 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),24990.0,61.5,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,11th Gen Intel Core i3 1115G4,Intel Integrated Iris Xe,Windows 11 OS,0
HP Omen 16-wf0054TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),151490.0,73.0,16.1,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i7 13700HX,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2
MSI Prestige 13 AI Evo A1M Laptop (Intel Core Ultra 7/ 16GB/ 512GB SSD/ Win11 Home),113999.0,64.0,13.3,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 7 Series 1 155H,Intel Arc Graphics,Windows 11 OS,2
Lenovo Ideapad Flex 5 14IAU7 82R700KHIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),53990.0,53.0,14.0,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i3 1215U,Intel Integrated UHD,Windows 11 OS,1
Asus Zenbook 14 OLED UX3405 Laptop (Intel Core Ultra 9 / 16GB/ 512GB SSD/ Win11 Home),149990.0,65.0,14.0,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 9 Series 1 185H,Intel Arc Graphics,Windows 11 OS,2
Acer Predator Triton Neo 16 Laptop (Intel Core Ultra 9 / 32GB/ 2TB SSD/ Win11 Home/ 8GB Graph),199999.0,74.0,16.0,32.0,2048.0,2 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 9 Series 1 185H,8 GB NVIDIA GeForce RTX 4070,Windows 11 OS,2
